id,text,commodity_id,writer,date,recommend
759,The courier company that seller is using takes a Long time to deliver the packages. For this delivery - delivery take approx 2 weeks from ordering. I had another order  from another seller using the same courier company - it took a month from ordering to delivery. Items arrived Singapore on the last week of Nov. items was only delivered on 13/12. And their updates on website showed items delivered even when items are not delivered.,1,*******,2016/12/14,Recommend
760,Fast delivery and items are in good condition.,1,*******,2016/12/14,Highly Recommend
761,No issues all the way until this order. Seller deliver the wrong item. Expect less to avoid disappointment. Sizing varies quite a bit but a good buy though.,1,*******,2016/12/14,Highly Recommend
762,Always a good buy. Expect less to avoid disappointment,1,*******,2016/12/14,Highly Recommend
763,Quality good gift for sister low price cheaper than buy at outlet,1,*******,2016/12/14,Highly Recommend
764,item received in good condition.,1,*******,2016/12/14,Recommend
765,"Brought 5 , around 3 can accept only as the material not suit for Singapore and some measurement are either too small or too big.. since the price is cheap so have buy a few same design to adjust the size.. as I like the design :)",1,*******,2016/12/14,Recommend
766,Item received in good condition.  Item received in good condition.,1,*******,2016/12/13,Recommend
767,Received items in good condition,1,*******,2016/12/13,Highly Recommend
768,Item received in gd condition,1,*******,2016/12/13,netural
769,Received...................,1,*******,2016/12/13,netural
770,The delivery was send to wrong address but lucky I manage to get back the parcel fr my neighbour.,1,*******,2016/12/13,Recommend
771,Delivery too v long and clothes are not up to quality or spec will not order again,1,*******,2016/12/13,Not Recommend
772,Received with thanks. Item recommended,1,*******,2016/12/13,Highly Recommend
773,Received in Gd condition. Worth the price.,1,*******,2016/12/13,Highly Recommend
774,Received the items in good condition. Soft n nice material.,1,*******,2016/12/13,Highly Recommend
775,The shirts sizes are still a little big despite choosing the smallest available size. But reasonable quality for the price paid. Tks.,1,*******,2016/12/12,Recommend
776,"Good quality and fast delivery\
Thanks",1,*******,2016/12/12,Highly Recommend
777,Receive in good condition.,1,*******,2016/12/12,Recommend
778,Hi Seller.. Received the items in good condition however one of the blouse is abit too big for XL. Overall all is ok. Thanks.,1,*******,2016/12/12,Recommend
779,Affordable &amp; trustworthy,1,*******,2016/12/12,Recommend
780,It is quite tight for me. It looks totally different from the photo provided. Fast delivery. The cutting of the clothes is not good.,1,*******,2016/12/12,Not Recommend
781,All the shirts and dress i bought are either too small or too big i have to spend extra money to taper the dress. Not worth it.,1,*******,2016/12/12,Recommend
782,Will purchase again and happy with the item,1,*******,2016/12/12,Highly Recommend
783,Thanks for the delivery but the sizes are to big for me and over all is find.,1,*******,2016/12/12,Highly Recommend
784,"Bought 3 items from seller (although my pic shows 2, couldn't find the pic of the shorts on their store) - winter top, winter skirt and winter shorts. The top was of polyester material - good only for winter weather (please don't wear it in Singapore as it's really not made for it!). The skirt and shorts were of suede-like material - good for my winter trip. Normally, I'll order a size bigger given that most of these clothes' cutting are small but the skirt's cutting was big so I  recommend that you order the size that you usually wear.",1,*******,2016/12/12,Highly Recommend
785,Brought 3 but 1 is different from pic. But overall for the price I paid can't complain much.,1,*******,2016/12/12,Recommend
786,fast delivery and items nicely packed,1,*******,2016/12/12,Highly Recommend
